Booking_ID,Hotel_Type,Hotel_Location,Booking_Date,Arrival_Date,Lead_Time_Days,Weekend_Nights,Weekday_Nights,Adults,Children,Babies,Country,Market_Segment,Distribution_Channel,Is_Repeated_Guest,Previous_Cancellations,Previous_Bookings,Room_Type_Reserved,Room_Type_Assigned,Booking_Changes,Deposit_Type,Agent_ID,Company_ID,Days_In_Waiting_List,Customer_Type,Meal_Type,Total_Nights,ADR,Required_Car_Parking_Spaces,Total_Special_Requests,Satisfaction_Score,Reservation_Status,Is_Canceled,Reservation_Status_Date,Estimated_Revenue,Total_Guests,Calculated_Nights,Booking_Year,Arrival_Year,Arrival_Month,Booking_Month,Revenue_Per_Guest,Booking_Status,Lead_Time_Category
HTL019424,Resort Hotel,Goa,2024-12-12,2025-12-08,361,3,3,2,0.0,0,BRA,Offline TA/TO,TA/TO,0,0,0,H,H,3,Non Refund,140.0,0.0,0,Contract,BB,6,262.2,0,3,4.44,Canceled,1,2025-12-09,1573.22,2.0,6,2024,2025,December,December,786.61,Canceled,181-365 Days
HTL006714,City Hotel,Dubai,2025-04-15,2026-01-05,265,1,0,2,0.0,0,NOR,Online TA,TA/TO,0,0,0,B,B,4,No Deposit,82.0,0.0,30,Group,Undefined,1,71.1,0,2,2.83,Canceled,1,2026-01-06,71.1,2.0,1,2025,2026,January,April,35.55,Canceled,181-365 Days
HTL010251,City Hotel,London,2025-11-13,2026-07-16,245,3,2,2,0.0,0,NLD,Direct,Direct,0,0,0,C,F,0,Non Refund,163.0,0.0,0,Transient,BB,5,107.21,1,0,3.46,Canceled,1,2026-07-20,536.07,2.0,5,2025,2026,July,November,268.035,Canceled,181-365 Days
HTL017092,Resort Hotel,Bali,2024-12-13,2025-11-29,351,0,6,2,0.0,0,DEU,Direct,Direct,0,0,0,A,H,0,No Deposit,62.0,0.0,3,Transient,HB,6,108.24,0,1,3.34,Canceled,1,2025-12-04,649.42,2.0,6,2024,2025,November,December,324.71,Canceled,181-365 Days
HTL012317,City Hotel,Lisbon,2024-11-13,2025-02-08,87,2,0,2,1.0,0,ARE,Online TA,TA/TO,0,0,0,B,B,1,Refundable,175.0,0.0,0,Contract,FB,2,97.9,0,3,4.41,Check-Out,0,2025-02-08,195.8,3.0,2,2024,2025,February,November,65.26666666666667,Confirmed,31-90 Days
HTL020038,City Hotel,London,2024-03-19,2024-08-17,151,1,1,4,1.0,0,IND,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,36.0,0.0,7,Contract,BB,2,98.15,0,1,4.14,Canceled,1,2024-08-18,196.3,5.0,2,2024,2024,August,March,39.260000000000005,Canceled,91-180 Days
HTL014433,Resort Hotel,Maldives,2025-09-15,2026-06-20,278,3,2,3,0.0,0,IRL,Online TA,TA/TO,0,0,0,E,E,2,Non Refund,139.0,0.0,0,Transient,HB,5,193.52,0,0,4.29,Canceled,1,2026-06-23,967.6,3.0,5,2025,2026,June,September,322.53333333333336,Canceled,181-365 Days
HTL012733,Resort Hotel,Maldives,2024-04-01,2024-09-01,153,1,4,2,0.0,0,DNK,Online TA,TA/TO,1,0,11,G,G,1,Non Refund,30.0,0.0,0,Contract,Undefined,5,216.6,0,1,4.45,Canceled,1,2024-09-01,1083.02,2.0,5,2024,2024,September,April,541.51,Canceled,91-180 Days
HTL013303,City Hotel,Dubai,2025-07-03,2026-03-08,248,2,3,2,1.0,0,JPN,Online TA,TA/TO,0,0,0,D,D,0,Non Refund,118.0,0.0,0,Transient,FB,5,119.0,0,2,3.66,Canceled,1,2026-03-10,594.99,3.0,5,2025,2026,March,July,198.33,Canceled,181-365 Days
HTL000016,Resort Hotel,Maldives,2024-10-27,2025-05-10,195,0,7,2,1.0,0,Unknown,Direct,Direct,1,0,12,E,E,0,Non Refund,104.0,0.0,0,Contract,Undefined,7,168.65,1,0,4.12,Canceled,1,2025-05-16,1180.58,3.0,7,2024,2025,May,October,393.52666666666664,Canceled,181-365 Days
HTL016099,Resort Hotel,Phuket,2024-01-16,2024-07-28,194,3,4,2,2.0,0,NLD,Online TA,TA/TO,0,0,0,D,D,4,Non Refund,51.0,0.0,1,Transient,Undefined,7,178.47,0,0,3.82,Canceled,1,2024-08-01,1249.29,4.0,7,2024,2024,July,January,312.3225,Canceled,181-365 Days
HTL015922,Resort Hotel,Algarve,2025-02-26,2025-12-10,287,3,5,2,0.0,0,SWE,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,4.0,0.0,2,Contract,Unknown,8,221.34,0,1,4.04,Check-Out,0,2025-12-10,1770.69,2.0,8,2025,2025,December,February,885.345,Confirmed,181-365 Days
HTL014537,City Hotel,Dubai,2024-04-24,2024-12-12,232,2,2,2,1.0,0,IND,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,89.0,0.0,0,Transient-Party,SC,4,177.43,0,3,3.83,Canceled,1,2024-12-16,709.71,3.0,4,2024,2024,December,April,236.57000000000002,Canceled,181-365 Days
HTL004193,City Hotel,Dubai,2025-11-09,2026-05-05,177,2,0,2,1.0,0,CHE,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,85.0,0.0,5,Transient,BB,2,107.16,0,2,3.96,Canceled,1,2026-05-07,214.31,3.0,2,2025,2026,May,November,71.43666666666667,Canceled,91-180 Days
HTL000112,City Hotel,Barcelona,2024-03-06,2024-12-19,288,3,0,2,0.0,0,CHE,Groups,Corporate,1,0,2,C,C,1,No Deposit,166.0,1055.0,0,Contract,Undefined,3,109.98,0,2,3.75,Check-Out,0,2024-12-21,329.93,2.0,3,2024,2024,December,March,164.965,Confirmed,181-365 Days
HTL003488,City Hotel,Dubai,2024-07-31,2024-11-30,122,0,3,2,0.0,0,JPN,Offline TA/TO,TA/TO,1,0,11,H,H,0,Non Refund,4.0,0.0,0,Transient,BB,3,136.09,0,3,4.54,Canceled,1,2024-12-03,408.28,2.0,3,2024,2024,November,July,204.14,Canceled,91-180 Days
HTL016825,City Hotel,Dubai,2025-11-29,2026-02-17,80,0,1,2,0.0,0,ITA,Corporate,Corporate,0,0,0,G,G,0,Non Refund,8.0,1049.0,0,Transient,BB,1,119.68,0,0,4.29,Canceled,1,2026-02-18,119.68,2.0,1,2025,2026,February,November,59.84,Canceled,31-90 Days
HTL002718,City Hotel,London,2024-12-27,2025-03-19,82,0,3,2,1.0,0,BEL,Direct,Direct,0,0,0,C,C,1,No Deposit,91.0,0.0,0,Transient-Party,HB,3,118.97,0,1,4.03,Check-Out,0,2025-03-20,356.92,3.0,3,2024,2025,March,December,118.97333333333334,Confirmed,31-90 Days
HTL016745,Resort Hotel,Goa,2025-09-16,2026-01-25,131,1,0,3,2.0,0,POL,Corporate,Corporate,0,0,0,F,F,0,No Deposit,172.0,1082.0,1,Transient-Party,Undefined,1,151.2,0,0,2.97,Check-Out,0,2026-01-25,151.2,5.0,1,2025,2026,January,September,30.24,Confirmed,91-180 Days
HTL023047,City Hotel,Amsterdam,2025-11-13,2026-11-03,355,3,0,2,0.0,1,CHN,Corporate,Corporate,0,0,0,F,F,0,Non Refund,98.0,1028.0,0,Group,BB,3,104.02,0,3,3.61,Canceled,1,2026-11-03,312.07,3.0,3,2025,2026,November,November,104.02333333333333,Canceled,181-365 Days
HTL001421,City Hotel,Dubai,2025-07-06,2025-12-09,156,1,1,4,1.0,0,ARE,Groups,TA/TO,0,0,0,H,H,0,No Deposit,70.0,1017.0,0,Group,SC,2,156.81,1,1,4.47,Canceled,1,2025-12-09,313.62,5.0,2,2025,2025,December,July,62.724000000000004,Canceled,91-180 Days
HTL022665,Resort Hotel,Phuket,2024-01-03,2024-08-26,236,1,5,1,1.0,0,Unknown,Online TA,TA/TO,0,0,0,H,H,0,Non Refund,77.0,0.0,0,Contract,Undefined,6,292.48,0,0,3.83,Canceled,1,2024-09-01,1754.9,2.0,6,2024,2024,August,January,877.45,Canceled,181-365 Days
HTL014796,Resort Hotel,Bali,2025-05-05,2025-11-08,187,0,6,2,0.0,0,NOR,Online TA,TA/TO,1,0,11,D,D,3,No Deposit,168.0,0.0,0,Transient-Party,BB,6,148.27,0,0,4.04,Canceled,1,2025-11-09,889.61,2.0,6,2025,2025,November,May,444.805,Canceled,181-365 Days
HTL020904,City Hotel,Lisbon,2025-02-23,2025-11-18,268,2,0,2,0.0,0,SAU,Online TA,TA/TO,0,0,0,C,C,2,No Deposit,128.0,0.0,0,Transient-Party,FB,2,63.3,0,1,3.05,Check-Out,0,2025-11-18,126.6,2.0,2,2025,2025,November,February,63.3,Confirmed,181-365 Days
HTL005109,City Hotel,London,2025-08-24,2026-05-05,254,0,1,1,0.0,0,GBR,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,97.0,0.0,0,Group,SC,1,153.36,0,0,3.78,No-Show,1,2026-05-05,153.36,1.0,1,2025,2026,May,August,153.36,Canceled,181-365 Days
HTL006210,City Hotel,Amsterdam,2024-08-05,2024-08-22,17,0,6,1,1.0,0,ARE,Direct,Direct,0,0,0,C,E,0,Non Refund,139.0,0.0,0,Transient,HB,6,122.75,2,2,3.85,Canceled,1,2024-08-22,736.48,2.0,6,2024,2024,August,August,368.24,Canceled,8-30 Days
HTL017995,Resort Hotel,Goa,2024-10-22,2025-01-02,72,1,1,2,0.0,0,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,51.0,0.0,0,Contract,Undefined,2,134.14,0,1,3.72,Canceled,1,2025-01-04,268.27,2.0,2,2024,2025,January,October,134.135,Canceled,31-90 Days
HTL008546,City Hotel,Lisbon,2025-02-06,2025-11-16,283,0,2,2,0.0,0,CAN,Online TA,TA/TO,0,0,0,F,F,1,Non Refund,96.0,0.0,0,Transient,SC,2,123.8,0,1,3.74,Canceled,1,2025-11-16,247.6,2.0,2,2025,2025,November,February,123.8,Canceled,181-365 Days
HTL023622,Resort Hotel,Goa,2025-02-11,2025-08-07,177,1,0,3,0.0,0,IRL,Direct,Direct,0,0,0,B,B,0,Non Refund,137.0,0.0,3,Contract,SC,1,150.62,0,1,4.21,Canceled,1,2025-08-07,150.62,3.0,1,2025,2025,August,February,50.20666666666667,Canceled,91-180 Days
HTL013356,City Hotel,Lisbon,2024-02-20,2024-08-19,181,1,0,3,0.0,0,CAN,Direct,Direct,0,0,0,G,G,1,No Deposit,65.0,0.0,1,Transient,BB,1,173.97,0,2,4.06,Check-Out,0,2024-08-19,173.97,3.0,1,2024,2024,August,February,57.99,Confirmed,181-365 Days
HTL004962,City Hotel,Barcelona,2025-05-20,2025-08-10,82,0,1,2,0.0,0,NLD,Direct,Direct,0,0,0,C,C,1,No Deposit,110.0,0.0,0,Transient-Party,FB,1,98.3,2,0,3.63,Canceled,1,2025-08-11,98.3,2.0,1,2025,2025,August,May,49.15,Canceled,31-90 Days
HTL003656,City Hotel,Lisbon,2024-08-31,2025-05-01,243,3,0,2,0.0,0,NOR,Corporate,Corporate,1,0,4,H,H,0,Non Refund,172.0,1050.0,0,Transient-Party,Undefined,3,131.53,0,1,3.82,Canceled,1,2025-05-01,394.59,2.0,3,2024,2025,May,August,197.295,Canceled,181-365 Days
HTL023301,City Hotel,Lisbon,2025-04-02,2026-03-18,350,3,3,3,0.0,0,PRT,Online TA,TA/TO,0,0,0,E,E,1,Non Refund,133.0,0.0,5,Group,FB,6,111.89,0,1,3.21,Canceled,1,2026-03-24,671.31,3.0,6,2025,2026,March,April,223.76999999999998,Canceled,181-365 Days
HTL010868,Resort Hotel,Maldives,2024-10-31,2024-12-28,58,3,5,2,0.0,0,POL,Direct,Direct,0,0,0,H,H,0,Non Refund,144.0,0.0,0,Transient,SC,8,289.49,1,0,4.08,No-Show,1,2024-12-31,2315.9,2.0,8,2024,2024,December,October,1157.95,Canceled,31-90 Days
HTL013250,City Hotel,Amsterdam,2025-10-08,2025-12-09,62,0,1,3,2.0,0,DNK,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,111.0,0.0,0,Group,HB,1,116.16,0,0,3.43,Check-Out,0,2025-12-09,116.16,5.0,1,2025,2025,December,October,23.232,Confirmed,31-90 Days
HTL024930,Resort Hotel,Phuket,2024-10-31,2025-07-03,245,2,3,2,0.0,0,USA,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,174.0,0.0,0,Transient-Party,FB,5,244.11,0,2,3.95,Canceled,1,2025-07-03,1220.54,2.0,5,2024,2025,July,October,610.27,Canceled,181-365 Days
HTL007480,Resort Hotel,Phuket,2024-10-02,2024-10-10,8,3,2,3,1.0,0,BRA,Corporate,Corporate,0,0,0,C,C,2,No Deposit,71.0,1096.0,0,Contract,SC,5,137.31,0,0,3.52,Check-Out,0,2024-10-15,686.56,4.0,5,2024,2024,October,October,171.64,Confirmed,8-30 Days
HTL022647,Resort Hotel,Maldives,2025-06-30,2025-08-23,54,1,4,2,0.0,0,CHN,Direct,Direct,0,0,0,E,E,1,No Deposit,37.0,0.0,0,Contract,HB,5,187.73,0,2,4.18,Canceled,1,2025-08-27,938.64,2.0,5,2025,2025,August,June,469.32,Canceled,31-90 Days
HTL012210,Resort Hotel,Bali,2024-04-30,2024-12-06,220,1,7,4,0.0,1,JPN,Direct,Direct,0,0,0,G,G,0,Non Refund,77.0,0.0,0,Transient,HB,8,230.88,0,0,3.88,Check-Out,0,2024-12-12,1847.03,5.0,8,2024,2024,December,April,369.406,Confirmed,181-365 Days
HTL015246,City Hotel,Lisbon,2025-10-08,2026-01-02,86,0,1,2,0.0,0,BEL,Online TA,TA/TO,0,0,0,G,G,1,Refundable,89.0,0.0,1,Group,SC,1,142.03,0,2,3.67,Canceled,1,2026-01-03,142.03,2.0,1,2025,2026,January,October,71.015,Canceled,31-90 Days
HTL019546,Resort Hotel,Algarve,2025-03-06,2026-03-06,365,0,5,2,0.0,0,CHN,Direct,Direct,0,0,0,G,G,0,No Deposit,74.0,0.0,0,Transient,SC,5,202.16,1,0,4.05,Canceled,1,2026-03-09,1010.78,2.0,5,2025,2026,March,March,505.39,Canceled,181-365 Days
HTL022817,City Hotel,London,2025-07-13,2025-08-02,20,0,6,2,0.0,1,ARE,Online TA,TA/TO,1,0,9,E,E,0,No Deposit,119.0,0.0,0,Group,SC,6,160.99,0,1,4.24,Canceled,1,2025-08-07,965.95,3.0,6,2025,2025,August,July,321.98333333333335,Canceled,8-30 Days
HTL016822,City Hotel,Dubai,2025-02-23,2026-02-08,350,1,4,2,0.0,0,Unknown,Direct,Direct,0,0,0,C,B,0,Non Refund,126.0,0.0,0,Transient-Party,Undefined,5,87.93,0,2,3.27,Canceled,1,2026-02-10,439.63,2.0,5,2025,2026,February,February,219.815,Canceled,181-365 Days
HTL013031,City Hotel,Lisbon,2024-08-29,2025-06-18,293,3,1,3,2.0,0,BEL,Offline TA/TO,TA/TO,0,0,0,D,D,0,Non Refund,158.0,0.0,1,Transient,BB,4,118.96,0,2,4.38,Canceled,1,2025-06-22,475.84,5.0,4,2024,2025,June,August,95.16799999999999,Canceled,181-365 Days
HTL024495,City Hotel,Dubai,2024-03-03,2024-04-02,30,0,1,2,1.0,0,GBR,Offline TA/TO,TA/TO,0,0,0,C,A,1,Non Refund,16.0,0.0,0,Transient,HB,1,85.88,0,1,4.24,Canceled,1,2024-04-02,85.88,3.0,1,2024,2024,April,March,28.626666666666665,Canceled,8-30 Days
HTL010701,City Hotel,Barcelona,2024-08-10,2024-12-16,128,1,5,2,0.0,0,USA,Online TA,TA/TO,0,0,0,E,E,0,Non Refund,133.0,0.0,0,Group,FB,6,122.68,0,2,4.32,Canceled,1,2024-12-17,736.1,2.0,6,2024,2024,December,August,368.05,Canceled,91-180 Days
HTL007178,Resort Hotel,Maldives,2024-11-15,2025-03-24,129,0,7,2,0.0,0,JPN,Online TA,TA/TO,0,0,0,B,B,2,Non Refund,162.0,0.0,0,Transient-Party,FB,7,120.81,0,0,3.73,Canceled,1,2025-03-25,845.64,2.0,7,2024,2025,March,November,422.82,Canceled,91-180 Days
HTL011381,Resort Hotel,Maldives,2025-04-27,2025-05-14,17,0,3,2,0.0,0,PRT,Online TA,TA/TO,0,0,0,C,C,3,No Deposit,69.0,0.0,0,Group,Undefined,3,131.85,0,1,3.85,Check-Out,0,2025-05-14,395.56,2.0,3,2025,2025,May,April,197.78,Confirmed,8-30 Days
HTL012103,Resort Hotel,Goa,2024-11-24,2025-09-05,285,0,5,2,0.0,0,NLD,Offline TA/TO,TA/TO,0,0,0,F,F,1,Non Refund,46.0,0.0,1,Transient-Party,Undefined,5,224.36,0,2,3.45,Canceled,1,2025-09-05,1121.78,2.0,5,2024,2025,September,November,560.89,Canceled,181-365 Days
HTL011237,City Hotel,London,2025-05-21,2025-12-14,207,1,0,3,0.0,0,AUS,Corporate,Corporate,0,0,0,E,E,0,Non Refund,145.0,1060.0,0,Group,Undefined,1,151.38,0,1,3.83,Canceled,1,2025-12-14,151.38,3.0,1,2025,2025,December,May,50.46,Canceled,181-365 Days
HTL000973,City Hotel,Lisbon,2025-12-20,2026-03-05,75,0,5,2,0.0,0,NLD,Direct,Direct,0,0,0,A,E,0,Refundable,97.0,0.0,10,Contract,SC,5,49.78,1,1,3.01,Check-Out,0,2026-03-09,248.89,2.0,5,2025,2026,March,December,124.445,Confirmed,31-90 Days
HTL015449,Resort Hotel,Maldives,2025-11-21,2026-01-05,45,0,6,2,0.0,0,PRT,Offline TA/TO,TA/TO,0,0,0,G,G,0,No Deposit,58.0,0.0,0,Transient,Undefined,6,197.7,0,1,3.8,Check-Out,0,2026-01-11,1186.23,2.0,6,2025,2026,January,November,593.115,Confirmed,31-90 Days
HTL017381,Resort Hotel,Bali,2024-01-07,2024-01-20,13,0,4,2,0.0,0,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,23.0,0.0,2,Group,HB,4,103.58,0,0,3.56,Check-Out,0,2024-01-20,414.31,2.0,4,2024,2024,January,January,207.155,Confirmed,8-30 Days
HTL008103,City Hotel,Dubai,2025-08-30,2025-12-10,102,1,0,2,1.0,0,AUS,Online TA,TA/TO,0,0,0,E,E,3,No Deposit,20.0,0.0,3,Contract,FB,1,161.35,0,1,3.73,Check-Out,0,2025-12-11,161.35,3.0,1,2025,2025,December,August,53.78333333333333,Confirmed,91-180 Days
HTL012682,City Hotel,Dubai,2025-12-10,2026-09-23,287,0,4,1,0.0,0,ESP,Online TA,TA/TO,1,0,8,E,E,3,No Deposit,177.0,0.0,0,Transient,HB,4,150.94,0,1,3.65,Check-Out,0,2026-09-24,603.76,1.0,4,2025,2026,September,December,603.76,Confirmed,181-365 Days
HTL002204,Resort Hotel,Algarve,2025-09-01,2025-10-13,42,0,1,3,0.0,0,USA,Offline TA/TO,TA/TO,0,0,0,F,F,0,Refundable,57.0,0.0,0,Contract,FB,1,186.25,0,0,3.65,Check-Out,0,2025-10-13,186.25,3.0,1,2025,2025,October,September,62.083333333333336,Confirmed,31-90 Days
HTL008373,City Hotel,London,2024-01-11,2024-10-01,264,3,3,2,0.0,0,ESP,Online TA,TA/TO,0,0,0,B,B,0,Non Refund,152.0,0.0,0,Transient,Undefined,6,96.8,0,2,3.83,Canceled,1,2024-10-05,580.78,2.0,6,2024,2024,October,January,290.39,Canceled,181-365 Days
HTL016576,Resort Hotel,Goa,2025-04-18,2025-12-05,231,2,2,2,0.0,0,POL,Direct,Direct,0,0,0,B,B,2,Non Refund,158.0,0.0,2,Contract,HB,4,168.11,0,3,4.06,Canceled,1,2025-12-08,672.43,2.0,4,2025,2025,December,April,336.215,Canceled,181-365 Days
HTL000317,Resort Hotel,Algarve,2025-07-10,2025-12-25,168,2,2,2,0.0,0,USA,Online TA,TA/TO,1,0,11,B,B,1,Non Refund,114.0,0.0,0,Transient,SC,4,173.01,0,1,3.84,Canceled,1,2025-12-26,692.02,2.0,4,2025,2025,December,July,346.01,Canceled,91-180 Days
HTL007376,City Hotel,London,2024-07-20,2024-10-31,103,1,1,4,0.0,0,CHE,Online TA,TA/TO,0,0,0,C,H,0,No Deposit,154.0,0.0,0,Transient,Undefined,2,79.04,2,3,3.86,Check-Out,0,2024-11-02,158.08,4.0,2,2024,2024,October,July,39.52,Confirmed,91-180 Days
HTL022344,City Hotel,Amsterdam,2025-01-25,2025-07-19,175,0,2,1,0.0,0,SWE,Online TA,TA/TO,0,0,0,A,A,1,Non Refund,140.0,0.0,0,Group,HB,2,94.64,0,1,3.44,Canceled,1,2025-07-20,189.27,1.0,2,2025,2025,July,January,189.27,Canceled,91-180 Days
HTL022613,City Hotel,Dubai,2025-12-27,2026-07-23,208,1,1,3,0.0,1,CAN,Online TA,TA/TO,1,0,7,G,G,1,Non Refund,10.0,0.0,0,Transient-Party,FB,2,185.44,0,3,3.73,Canceled,1,2026-07-23,370.87,4.0,2,2025,2026,July,December,92.7175,Canceled,181-365 Days
HTL017084,City Hotel,Amsterdam,2024-08-07,2025-03-03,208,0,1,3,1.0,0,CHN,Online TA,TA/TO,0,0,0,G,G,0,Non Refund,104.0,0.0,0,Group,FB,1,106.45,0,0,3.64,Canceled,1,2025-03-04,106.45,4.0,1,2024,2025,March,August,26.6125,Canceled,181-365 Days
HTL009227,City Hotel,Dubai,2025-05-02,2026-04-03,336,2,2,2,2.0,0,NLD,Offline TA/TO,TA/TO,0,0,0,G,G,0,Non Refund,66.0,0.0,14,Transient,BB,4,168.07,0,0,3.78,Canceled,1,2026-04-05,672.28,4.0,4,2025,2026,April,May,168.07,Canceled,181-365 Days
HTL008560,City Hotel,London,2025-05-30,2025-06-02,3,0,1,2,0.0,0,SWE,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,4.0,0.0,1,Transient-Party,BB,1,143.18,0,1,3.29,Check-Out,0,2025-06-03,143.18,2.0,1,2025,2025,June,May,71.59,Confirmed,0-7 Days
HTL013980,Resort Hotel,Maldives,2025-11-12,2026-07-14,244,3,2,2,0.0,0,SAU,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,35.0,0.0,0,Transient-Party,HB,5,143.68,0,0,4.04,Canceled,1,2026-07-18,718.39,2.0,5,2025,2026,July,November,359.195,Canceled,181-365 Days
HTL015277,Resort Hotel,Bali,2024-10-27,2024-11-29,33,2,3,2,0.0,0,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,52.0,0.0,1,Transient,Undefined,5,148.12,0,0,3.23,Check-Out,0,2024-12-04,740.61,2.0,5,2024,2024,November,October,370.305,Confirmed,31-90 Days
