Order_ID,Order_Date,Order_Year,Order_Month,Order_Day,Order_Day_Name,Customer_ID,Product_ID,Product_Name_Clean,Quantity,Unit_Price,Calculated_Sales,Sales_Category
O0094,2026-01-17,2026,1,17,Saturday,C011,P002,Mechanical Keyboard,4,2499,9996,High
O0095,2026-02-25,2026,2,25,Wednesday,C015,P011,Air Fryer,2,4999,9998,High
O0096,2026-02-07,2026,2,7,Saturday,C002,P013,Python Programming,1,749,749,Low
O0097,2026-02-24,2026,2,24,Tuesday,C004,P006,Hoodie,2,1599,3198,Medium
O0098,2026-02-03,2026,2,3,Tuesday,C009,P006,Hoodie,1,1599,1599,Low
O0099,2026-01-17,2026,1,17,Saturday,C010,P001,Wireless Headphones,2,1499,2998,Medium
O0100,2026-03-19,2026,3,19,Thursday,C003,P008,Sneakers,4,2999,11996,High
O0101,2026-02-24,2026,2,24,Tuesday,C009,P012,Water Bottle,1,699,699,Low
O0102,2026-01-20,2026,1,20,Tuesday,C021,P012,Water Bottle,3,699,2097,Medium
O0103,2026-03-03,2026,3,3,Tuesday,C022,P005,Power Bank,1,1199,1199,Low
O0104,2026-01-05,2026,1,5,Monday,C011,P006,Hoodie,3,1599,4797,Medium
O0105,2026-01-22,2026,1,22,Thursday,C020,P016,Atomic Habits,4,599,2396,Medium
O0106,2026-01-02,2026,1,2,Friday,C001,P009,Coffee Maker,1,3499,3499,Medium
O0107,2026-01-26,2026,1,26,Monday,C021,P003,Wireless Mouse,2,899,1798,Low
O0108,2026-01-04,2026,1,4,Sunday,C006,P020,Dumbbell Set,1,1999,1999,Low
O0109,2026-03-17,2026,3,17,Tuesday,C023,P019,Cricket Bat,5,2499,12495,High
O0110,2026-01-05,2026,1,5,Monday,C007,P005,Power Bank,1,1199,1199,Low
O0111,2026-03-14,2026,3,14,Saturday,C001,P001,Wireless Headphones,4,1499,5996,High
O0112,2026-01-15,2026,1,15,Thursday,C012,P006,Hoodie,4,1599,6396,High
O0113,2026-03-22,2026,3,22,Sunday,C008,P014,Data Science Handbook,1,899,899,Low
O0114,2026-02-12,2026,2,12,Thursday,C019,P011,Air Fryer,5,4999,24995,High
O0115,2026-01-23,2026,1,23,Friday,C014,P007,Jacket,2,2499,4998,Medium
O0116,2026-02-19,2026,2,19,Thursday,C025,P010,Electric Kettle,1,1499,1499,Low
O0117,2026-02-21,2026,2,21,Saturday,C019,P015,Machine Learning Basics,3,999,2997,Medium
O0118,2026-03-09,2026,3,9,Monday,C025,P016,Atomic Habits,4,599,2396,Medium
O0119,2026-02-03,2026,2,3,Tuesday,C015,P019,Cricket Bat,2,2499,4998,Medium
O0120,2026-01-21,2026,1,21,Wednesday,C013,P020,Dumbbell Set,1,1999,1999,Low
